Id_Ext_Dominio;ids;Url_pagina;Endereco_IP;Titulo_pagina;qtd_linhas_Pagina;Idioma_pagina;Data
73.0;91;https://tiny4k.com/tours/tube/?code=MzE2OTk6MjoxNDQ,29;13.227.106.113;Tiny4k.com - Tiny 4k Tube Porn Video;31885.0;en;2020-07-07 22:24:53
72.0;90;https://fancentro.com/?fallbackPlaceholder=r%2FTFCBUiDm;31.192.113.173;FanCentro;22245.0;en;2020-07-07 22:24:51
71.0;89;https://efukt.com/;172.67.152.61;Adult humor for adults | eFukt.com;92289.0;en;2020-07-07 22:24:13
70.0;88;https://www.pornolandia.xxx/;104.27.202.90;Videos Porno Gratis - Pornolandia.xxx;147308.0;es;2020-07-07 22:23:57
69.0;87;https://network.nutaku.net/images/landing/tgp/22/page.html?ats=eyJhIjoxNzYsImMiOjU3NDExNDkwLCJuIjoxLCJzIjoxLCJlIjo5MTIzLCJwIjoyfQ==;205.185.208.150;Nutaku | Free Online Hentai Sex Porn Games | Nutaku.net;21196.0;en;2020-07-07 22:23:54
50.0;86;https://theporndude.com/pt/1551/hentaiplay;104.17.35.108;HentaiPlay & 19+ Sites de Hentai Online Gosto Hentaiplay.net;146920.0;pt;2020-07-07 22:23:27
68.0;85;http://hentaigasm.com/;109.236.80.38;Hentaigasm - Stream Hentai;86728.0;en;2020-07-07 22:23:08
67.0;84;https://www.sexy-youtubers.com/;104.31.0.182;Sexy Youtubers - The Home of Hot and Sexy Youtubers. Leaked Nudes, Nipple Slips, Cleavage, Bikini Pictures and More from all of your favorite Sexy YouTubers and Streamers!;276328.0;en;2020-07-07 22:21:29
66.0;83;https://hentaiplay.net/;104.28.24.111;Hentai Play - Watch Hentai Online;165487.0;en;2020-07-07 22:20:53
50.0;82;https://theporndude.com/pt/1955/pornhubindian;104.17.34.108;PornHub/Indian & 11+ Sites Porno Indiano Gosto Pornhub.com/indian;145827.0;pt;2020-07-07 22:20:26
65.0;81;https://rule34.paheal.net/;5.79.66.75;Rule 34;3969.0;en;2020-07-07 22:20:23
47.0;80;https://pt.pornhub.com/video?c=101&o=mv&t=t&cc=in;66.254.114.41;Os vídeos porno Indianas mais vistos hoje em India - Pornhub.com;473464.0;pt;2020-07-07 22:19:04
64.0;79;https://www.superhentais.com/;104.27.163.31;Sem titulo - Pagina não possível um titulo ao extrair;0.0;pt;2020-07-07 22:19:02
50.0;78;https://theporndude.com/pt/2308/abuseme;104.17.34.108;AbuseMe & 12+ Porno Fetiche Premium Gosto Abuseme.com;146511.0;pt;2020-07-07 22:18:32
63.0;77;https://avgle.com/;104.27.154.26;Avgle;156252.0;fr;2020-07-07 22:17:57
62.0;76;http://abuseme.com/t2?aid=gc1984;68.169.96.15;Hardcore 18+ videos -  Abuse Me;25018.0;en;2020-07-07 22:17:50
61.0;75;https://jav.guru/;172.67.71.187;Jav Guru ⋆ Japanese porn Tube ⋆ The best JAV movies online for stream and download free;387268.0;en;2020-07-07 22:17:13
60.0;74;http://www.fetishnetwork.com/t2/show.php?a=1098_1&path=&nats=MTAwMDAwMTY4Mi40LjEwLjEwLjAuMC4wLjAuMA;99.192.231.87;Fetish Network - HD Fetish Videos and Live Shows;155010.0;en;2020-07-07 22:16:45
59.0;73;https://www.xpaja.net/;144.217.71.154;Xpaja | Vídeos Porno Gratis & Sexo Tube Amateur XXX;100032.0;pt;2020-07-07 22:16:21
58.0;72;https://javfinder.la/;104.31.14.163;JavFinder 2020 - Free JAV Sex Streaming, Japanese Porn Online HD;63755.0;en;2020-07-07 22:15:57
57.0;71;https://www.pornocarioca.com/;172.67.70.235;Porno Carioca - Videos Porno Amador com muito Sexo Grátis;95974.0;pt;2020-07-07 22:15:25
50.0;70;https://theporndude.com/pt/3468/xhamster;104.17.34.108;xHamster/Anal & 10+ Sites de Sexo Anal Gosto Xhamster.com/anal;153946.0;pt;2020-07-07 22:14:44
56.0;69;http://www.spicytranny.com/pt/;78.140.190.59;Spicy Tranny TUBE;93107.0;en;2020-07-07 22:14:04
55.0;68;https://www.4tube.com/;104.17.180.88;Free Porn Videos, XXX, Sex Tube Videos and Porno | 4tube;171619.0;en;2020-07-07 22:13:37
54.0;67;https://pt.xhamster.com/search/anal?sort=best;104.18.156.3;Melhores anal Vídeos Porno ! xHamster;182820.0;pt;2020-07-07 22:13:06
53.0;66;https://txxx.com/?promo=10718;172.64.143.14;Free porn videos / HD sex movies / XXX TV | TXXX.com;89333.0;en;2020-07-07 22:12:59
52.0;65;https://www.porntrex.com/;109.201.133.9;PornTrex | Best Free HD Porn Videos, Premium Porn Tube Movies;616387.0;en;2020-07-07 22:11:59
51.0;64;https://www.assoass.com/;157.245.129.78;;;;
;                    Big Ass Tube & Anal Videos;;;;;;
271886.0;                        ;en;2020-07-07 22:10:56;;;;
50.0;63;https://theporndude.com/pt;104.17.35.108;Porn Dude - Lista dos Melhores Sites Porno e de Sexo Grátis!;765503.0;pt;2020-07-07 22:04:31
49.0;62;https://www.assistirhentai.com/;104.27.190.82;Assistir Hentai Online - Ver Hentai;45979.0;pt;2020-07-07 22:04:20
48.0;61;https://www.tufos.com.br/;104.27.195.90;TUFOS - Mega Portal Adulto: Vídeos e quadrinhos eróticos.;153661.0;pt;2020-07-07 22:03:50
47.0;60;https://pt.pornhub.com/categories/hentai;66.254.114.41;Pornhub E Hentai – Os Desenhos Animados Porno Mais Conhecidos E Vistos;484177.0;pt;2020-07-07 22:02:29
46.0;59;https://hentaipornobr.com/;192.124.249.60;Hentai Porno BR - O melhor site de Hentai do Brasil;85434.0;pt;2020-07-07 22:02:15
41.0;58;https://pornone.com/;104.26.15.226;PornOne.com: Free Porn Videos — PornOne ex vPorn;229252.0;en;2020-07-07 22:01:49
45.0;57;https://www.dailymotion.com/video/xipbo;195.8.215.138;guy vs girl fight - video dailymotion;122355.0;en;2020-07-07 22:01:47
44.0;56;https://www.theduckwebcomics.com/;173.255.217.254;The Duck Webcomics;132270.0;en;2020-07-07 22:01:24
43.0;55;http://www.veporns.com/category/brazzers-premium/1;172.64.142.23;New 720p,1080p HD Free Brazzers Porn Videos - Page 1;96736.0;en;2020-07-07 22:01:00
43.0;54;http://www.veporns.com/;172.64.142.23;Fresh HD 720p porn videos VEPORN;109259.0;en;2020-07-07 22:00:34
19.0;53;https://www.youporn.com/watch/14497827/blonde-18-year-old-with-natural-huge-tits-gets-fucked-by-college-jock/;66.254.114.79;Blonde 18 Year Old With Natural Huge Tits Gets Fucked by College Jock - Free Porn Videos - YouPorn;1041004.0;en;2020-07-07 21:58:13
19.0;52;https://www.youporn.com/watch/14890177/nf-busty-curvy-model-seduces-her-artist-for-intense-sex-s5e10/;66.254.114.79;Nf Busty - Curvy Model Seduces Her Artist for Intense Sex S5:E10 - Free Porn Videos - YouPorn;608976.0;en;2020-07-07 21:57:02
42.0;51;https://youporn.com;66.254.114.79;Free Porn Videos - HD Porno Tube & XXX Sex Videos | YouPorn;440079.0;en;2020-07-07 21:55:49
41.0;50;https://pornone.com/mature/i-blackmailed-and-fucked-my-friends-hot-mom/3193334/;172.67.72.49;I Blackmailed And Fucked My Friends Hot Mom — PornOne ex vPorn;275382.0;en;2020-07-07 21:55:26
41.0;49;https://pornone.com;172.67.72.49;PornOne.com: Free Porn Videos — PornOne ex vPorn;177881.0;en;2020-07-07 21:55:01
40.0;48;https://www.boafoda.com/channels/51/hentai;104.18.212.61;Hentai HQ de sexo porno boa foda gratis em BoaFoda.com;281248.0;pt;2020-07-07 21:54:30
40.0;47;https://www.boafoda.com/channels/879/atriz-porno;104.18.212.61;Atriz Porno Famosa Video Sexo e Video GRATIS - BoaFoda;284684.0;pt;2020-07-07 21:53:59
40.0;46;https://www.boafoda.com/videos/123961/varias-cenas-de-sexo-no-mesmo-video.html;104.18.212.61;Várias cenas de sexo no mesmo vídeo - BoaFoda.com;164750.0;pt;2020-07-07 21:53:40
39.0;45;https://boafoda.com;104.18.212.61;BOA FODA videos de sexo e porno gratis BOAFODA.COM;222146.0;ptgl;2020-07-07 21:53:11
32.0;44;https://cameraprive.com/br;104.16.143.108;Camera Prive - Sexo ao vivo na webcam;107458.0;pt;2020-07-07 21:52:54
38.0;43;https://www.elasnacam.com/;172.67.208.79;ELAS NA CAM - Webcam com Mulheres Gostosas;27840.0;pt;2020-07-07 21:52:36
37.0;42;https://thepornmap.com/pt/list/porn-lists/;69.55.54.194;Melhores sites de listas de pornografia - Sites 44 + similares ao ThePornMap!;147529.0;pt;2020-07-07 21:52:02
36.0;41;https://www.thepornlist.net/;172.67.68.7;The Porn List - Best Quality Porn Sites of 2020;768998.0;en;2020-07-07 21:47:25
35.0;40;https://www.legalporno.com/;185.120.71.25;;;;
584581.0; Legal Porno is World's Biggest Extreme Porn Collection ;en;2020-07-07 21:45:24;;;;
34.0;39;https://www.redtube.com.br/32931521;216.18.168.124;Comendo Minhas Primas Novinha Aumente Seu Pênis 11943829572 - RedTube;351545.0;pt;2020-07-07 21:44:45
34.0;38;https://www.redtube.com.br/;216.18.168.124;Porno Gratis - Videos Porno e Filmes XXX Gratis | Redtube Brasil;357589.0;pt;2020-07-07 21:43:59
33.0;37;https://spankbang.com;104.16.122.72;SpankBang: Free Porn Videos and 4K Sex Movies;128251.0;en;2020-07-07 21:43:13
31.0;36;http://www.gameofporn.net/video/myfamilypies-sofia-lee-step-sis-wont-quit;104.18.41.60;MyFamilyPies - Sofia Lee Step Sis Wont Quit  porn | GameOfPorn.net;93935.0;en;2020-07-07 21:42:52
32.0;35;https://cameraprive.com/br/;104.16.142.108;Camera Prive - Sexo ao vivo na webcam;107808.0;pt;2020-07-07 21:42:35
31.0;34;http://www.gameofporn.net/;104.18.41.60;Fresh HD 720p porn videos GameOfPorn.net;95786.0;en;2020-07-07 21:42:08
30.0;33;https://www.pussyspace.com/;80.84.51.18;New Porn Videos & Fans Pussy, Porn Tube | PussySpace.com;61929.0;en;2020-07-07 21:41:46
29.0;32;https://pornvibe.org/shoplyfter-fuck-to-avoid-charges/;176.9.138.137;Shoplyfter - Fuck To Avoid Charges - Pornvibe.org;150921.0;en;2020-07-07 21:41:35
29.0;31;https://pornvibe.org/;176.9.138.137;Pornvibe.org - Free Czech Porn Videos And Amateur Sex Videos;218667.0;en;2020-07-07 21:41:19
28.0;30;https://www.hd-easyporn.com/;104.18.63.254;HD Porn - Free Porn Movies XXX and Free Sexvideos;168219.0;en;2020-07-07 21:40:46
27.0;29;http://www.dvdtrailertube.com/My-Girl-Loves-Anal-9-Naughty-America-trailer-71485.html;109.202.101.166;My Girl Loves Anal 9 DVD by Naughty America;22579.0;en;2020-07-07 21:40:40
27.0;28;http://www.dvdtrailertube.com/;109.202.101.166;Adult DVD Trailer & Porn BluRay Preview Videos | dvdtrailertube.com;46937.0;en;2020-07-07 21:40:26
26.0;27;https://mangoporn.net/movies/thinking-of-fucking-your-daddy-so-bad/;51.178.76.69;Watch Thinking Of Fucking Your Daddy So Bad! Movie Online Free - MangoPorn;115588.0;en;2020-07-07 21:39:43
26.0;26;https://mangoporn.net/;51.178.76.69;MangoPorn - Watch Mango Porn Online Free;163889.0;entl;2020-07-07 21:38:58
25.0;25;https://mundohentaioficial.com/;104.27.163.143; Mundo Hentai | Os melhores Hentai Exclusivos!;17363.0;pt;2020-07-07 21:38:48
24.0;24;https://nhentai.net/;104.27.195.88;nhentai: hentai doujinshi and manga;25169.0;mi;2020-07-07 21:38:34
23.0;23;https://xhamster.com/;104.18.156.3;Free Porn Videos & Sex Tube Movies at xHamster;216252.0;en;2020-07-07 21:37:49
22.0;22;https://www.pornhub.com/;66.254.114.41;Free Porn Videos & Sex Movies - Porno, XXX, Porn Tube | Pornhub;416225.0;en;2020-07-07 21:36:48
21.0;21;https://www.xnxx.com/;185.88.181.56;Free Porn, Sex, Tube Videos, XXX Pics, Pussy in Porno Movies - XNXX.COM;203924.0;en;2020-07-07 21:36:01
20.0;20;https://www.redtube.com/;216.18.168.124;Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno;358051.0;en;2020-07-07 21:35:10
19.0;19;https://www.youporn.com/;66.254.114.79;Free Porn Videos - HD Porno Tube & XXX Sex Videos | YouPorn;442382.0;en;2020-07-07 21:33:43
18.0;18;https://beeg.com/;192.243.54.98;beeg.;253375.0;en;2020-07-07 21:33:29
17.0;17;https://fapdu.com/;104.28.29.155;Free Porn Videos & Sex Movies - Porno, XXX, Porn Tube | Pornhub;417488.0;en;2020-07-07 21:32:34
16.0;16;https://animesonline.vip/;172.67.172.123;Animes Online - Assistir Animes Online Grátis Dublado e Legendado;97239.0;pt;2020-07-07 21:24:23
15.0;15;https://www.animefreak.tv/;172.67.200.238;;;;
;            Animefreak.TV - Watch Anime Online for Free. Subbed & Dubbed;;;;;;
79525.0;        ;en;2020-07-07 21:24:02;;;;
14.0;14;https://animesonlines.site/;104.24.127.154;Animes Online | ✅ Assistir Animes Online Completo Dublado E Legendado ✅;107044.0;pt;2020-07-07 21:23:52
13.0;13;https://unionleitor.top/aws;104.31.13.175;Union Mangás - Leitor Online em Português;57852.0;pt;2020-07-07 21:23:26
12.0;12;http://centraldemangas.online/;51.15.12.43;Central de Mangás;137892.0;pt;2020-07-07 21:22:37
11.0;11;https://mangaplus.shueisha.co.jp/manga_list/all;13.227.106.125;MANGA Plus by SHUEISHA;2932.0;jaen;2020-07-07 21:22:35
